Check_Ave,Date,Item_Count,Location,Sub-total
10.45,7/1/2017,175,ETC,613.81
3.36,7/1/2017,152,HDC,537.85
3.11,7/2/2017,374,HDC,"1,117.12"
9.18,7/2/2017,223,ETC,695.18
7.63,7/3/2017,212,Passport,674.8
10.11,7/3/2017,20,Post Office,171.76
1.7,7/3/2017,987,HDC,"1,634.13"
7.87,7/3/2017,191,Tylers,720.75
5.9,7/3/2017,379,ETC,"1,061.64"
4.32,7/3/2017,102,8:15,243.35
0.57,7/4/2017,1479,HDC,846.11
63.42,7/4/2017,20,ETC,63.42
10.26,7/5/2017,19,Post Office,184.67
0.89,7/5/2017,1630,HDC,"1,452.87"
7.27,7/5/2017,281,Tylers,988.67
6.58,7/5/2017,550,ETC,"1,546.13"
3.76,7/5/2017,107,8:15,255.78
7.75,7/5/2017,390,Passport,"1,151.21"
4.45,7/6/2017,188,8:15,464.13
18.03,7/6/2017,26,Post Office,360.48
1.34,7/6/2017,1725,HDC,"2,295.18"
6.83,7/6/2017,287,Tylers,926.13
7.77,7/6/2017,380,Passport,"1,141.86"
8.06,7/6/2017,713,ETC,"1,891.25"
11.09,7/7/2017,31,Post Office,276.9
2.62,7/7/2017,989,HDC,"2,412.18"
4.75,7/7/2017,129,8:15,340.19
6.59,7/7/2017,208,Tylers,722.11
7.98,7/7/2017,474,ETC,"1,488.94"
8.37,7/7/2017,347,Passport,"1,106.74"
2.86,7/8/2017,278,HDC,750.56
13.33,7/8/2017,268,ETC,905.72
9.64,7/9/2017,183,ETC,623.82
3.38,7/9/2017,388,HDC,"1,247.63"
6.89,7/10/2017,294,Tylers,978.49
7.43,7/10/2017,420,Passport,"1,253.08"
6.37,7/10/2017,1642,THC,"2,330.61"
3.54,7/10/2017,133,8:15,296.79
3.35,7/10/2017,686,HDC,"2,146.60"
6.97,7/10/2017,370,ETC,"1,127.28"
15.24,7/10/2017,33,Post Office,304.48
7.96,7/11/2017,369,ETC,"1,222.28"
6.98,7/11/2017,445,Passport,"1,245.75"
16.96,7/11/2017,32,Post Office,525.71
4.33,7/11/2017,148,8:15,391.41
7.71,7/11/2017,1435,THC,"2,550.79"
3.89,7/11/2017,759,HDC,"2,643.82"
7.37,7/11/2017,312,Tylers,"1,033.38"
7.11,7/12/2017,247,Tylers,895.34
7.27,7/12/2017,412,Passport,"1,202.91"
7.66,7/12/2017,369,ETC,"1,057.54"
4.55,7/12/2017,185,8:15,492.58
2.41,7/12/2017,895,HDC,"2,093.73"
10.66,7/12/2017,12,Post Office,106.47
8.33,7/12/2017,1749,THC,"2,616.74"
9.42,7/13/2017,17,Post Office,112.71
3.14,7/13/2017,899,HDC,"2,671.44"
7.35,7/13/2017,392,Passport,"1,166.96"
7.71,7/13/2017,355,Tylers,"1,234.49"
8.35,7/13/2017,1396,THC,"2,687.79"
4.17,7/13/2017,151,8:15,389.71
6.95,7/13/2017,347,ETC,"1,002.88"
7.66,7/14/2017,387,Passport,"1,094.69"
9.49,7/14/2017,483,ETC,"1,668.74"
7.06,7/14/2017,1315,THC,"2,107.02"
4.63,7/14/2017,142,8:15,370.73
4.14,7/14/2017,573,HDC,"2,273.77"
8.38,7/14/2017,346,Tylers,"1,222.49"
7.41,7/14/2017,22,Post Office,125.84
5.14,7/15/2017,294,HDC,"1,378.20"
12.1,7/15/2017,300,ETC,"1,034.31"
14.19,7/16/2017,284,ETC,946.79
3.25,7/16/2017,433,HDC,"1,339.63"
2.48,7/17/2017,1099,HDC,"2,703.86"
12.49,7/17/2017,50,Post Office,411.27
6.69,7/17/2017,303,Tylers,"1,094.99"
8.95,7/17/2017,549,ETC,"1,705.59"
8.01,7/17/2017,418,Passport,"1,189.32"
4.16,7/17/2017,174,8:15,431.3
7.11,7/17/2017,1443,THC,"2,147.38"
5.5,7/18/2017,20,Post Office,93.57
4.74,7/18/2017,176,8:15,460.36
2.77,7/18/2017,914,HDC,"2,423.02"
6.99,7/18/2017,284,Tylers,"1,009.99"
7.34,7/18/2017,1166,THC,"1,912.81"
10.01,7/18/2017,468,ETC,"1,622.71"
7.63,7/18/2017,434,Passport,"1,189.97"
2.96,7/19/2017,829,HDC,"2,401.02"
4.58,7/19/2017,140,8:15,353.98
8.49,7/19/2017,1441,THC,"2,340.00"
7.31,7/19/2017,254,Tylers,895.8
7.47,7/19/2017,427,Passport,"1,226.56"
8.69,7/19/2017,431,ETC,"1,397.91"
22.27,7/19/2017,22,Post Office,423.02
11.95,7/20/2017,17,Post Office,191.11
4.4,7/20/2017,144,8:15,368.83
7.48,7/20/2017,1288,THC,"2,117.96"
8.17,7/20/2017,324,Tylers,"1,171.18"
2.58,7/20/2017,893,HDC,"2,193.41"
12.76,7/20/2017,855,ETC,"2,847.98"
0,7/20/2017,4,Cellar,0
8.51,7/20/2017,454,Passport,"1,303.29"
7.02,7/21/2017,933,THC,"1,718.09"
7.38,7/21/2017,314,Tylers,"1,090.38"
4.72,7/21/2017,143,8:15,353.86
14.28,7/21/2017,842,ETC,"2,804.94"
5.06,7/21/2017,9,Post Office,45.58
3.33,7/21/2017,655,HDC,"2,054.88"
8.45,7/21/2017,337,Passport,"1,045.15"
16.79,7/22/2017,427,ETC,"1,272.19"
1.41,7/22/2017,483,HDC,693.98
12.63,7/23/2017,177,ETC,591.14
5.71,7/23/2017,228,HDC,"1,118.20"
5.18,7/24/2017,135,8:15,345.59
6.09,7/24/2017,19,Post Office,103.25
9.38,7/24/2017,187,ETC,631.93
5.24,7/24/2017,459,HDC,"2,184.35"
6.97,7/24/2017,239,Tylers,789.33
7.09,7/24/2017,1328,THC,"2,044.41"
6.01,7/25/2017,173,ETC,502.91
0,7/25/2017,,Passport,0
4.74,7/25/2017,113,8:15,310.41
10.78,7/25/2017,24,Post Office,247.86
8.15,7/25/2017,256,Tylers,883.19
4.97,7/25/2017,664,HDC,"3,119.20"
7.23,7/25/2017,1194,THC,"1,924.25"
16.22,7/26/2017,22,Post Office,324.44
4.29,7/26/2017,722,HDC,"3,049.48"
-12.24,7/26/2017,-2,Passport,-11
7.45,7/26/2017,292,Tylers,"1,022.80"
8.14,7/26/2017,1692,THC,"2,765.58"
4.4,7/26/2017,131,8:15,355.51
6.77,7/26/2017,272,ETC,771.18
0,7/27/2017,,Cellar,0
8.86,7/27/2017,239,ETC,776.35
3.92,7/27/2017,31,Stadium East,98
7.13,7/27/2017,1179,THC,"2,157.08"
17.08,7/27/2017,24,Post Office,358.75
7.36,7/27/2017,256,Tylers,878.82
4.04,7/27/2017,105,8:15,251.56
3.79,7/27/2017,684,HDC,"2,328.90"
3.77,7/28/2017,464,HDC,"1,660.67"
7.39,7/28/2017,16,Post Office,103.39
9.46,7/28/2017,239,ETC,806.35
0,7/28/2017,,Passport,0
8.66,7/28/2017,245,Tylers,828.74
4.49,7/28/2017,117,8:15,286.38
8.15,7/28/2017,1062,THC,"2,234.17"
5.81,7/28/2017,89,Stadium East,273
4.48,7/29/2017,42,Stadium East,130
2.38,7/29/2017,340,HDC,805.6
2.82,7/30/2017,319,HDC,855.9
17.07,7/31/2017,34,Post Office,426.61
5.86,7/31/2017,145,8:15,356.19
6.65,7/31/2017,1388,THC,"2,068.53"
4.14,7/31/2017,476,HDC,"1,844.45"
7.18,7/31/2017,194,Passport,560.77
7.6,7/31/2017,126,ETC,434.03
4.33,8/1/2017,118,8:15,271.04
3.5,8/1/2017,533,HDC,"1,777.22"
0,8/1/2017,,Tylers,0
7.32,8/1/2017,1222,THC,"2,080.94"
5.81,8/1/2017,105,ETC,291.29
7.5,8/1/2017,226,Passport,648.41
30.28,8/1/2017,24,Post Office,635.88
10.74,8/2/2017,20,Post Office,204
7.34,8/2/2017,1430,THC,"2,194.34"
8,8/2/2017,231,Passport,680.07
4.43,8/2/2017,107,8:15,257.09
3.46,8/2/2017,498,HDC,"1,648.35"
7.58,8/2/2017,120,ETC,380.59
6.75,8/3/2017,1147,THC,"1,887.21"
6.75,8/3/2017,208,Passport,597.99
8.53,8/3/2017,119,ETC,353.93
5.44,8/3/2017,99,8:15,238.17
25.94,8/3/2017,15,Post Office,363.11
3.95,8/3/2017,533,HDC,"1,956.28"
9.74,8/4/2017,9,Post Office,58.41
12.15,8/4/2017,51,ETC,179.94
1.44,8/4/2017,197,HDC,299.01
4.58,8/4/2017,39,8:15,107.56
4.79,8/4/2017,26,Passport,73.5
5.81,8/4/2017,320,THC,575.96
1.41,8/5/2017,318,HDC,467.12
3.04,8/6/2017,335,HDC,911
0,8/7/2017,,Cellar,0
7.42,8/7/2017,173,Passport,497.75
5.04,8/7/2017,78,ETC,250.71
24.22,8/7/2017,21,Post Office,460.21
6.98,8/7/2017,175,Tylers,574.88
1.89,8/7/2017,721,HDC,"1,410.91"
6.54,8/7/2017,1307,THC,"1,843.08"
10.57,8/8/2017,25,Post Office,221.99
2,8/8/2017,752,HDC,"1,504.62"
7.7,8/8/2017,220,Passport,674.06
0,8/8/2017,,Cellar,0
7.02,8/8/2017,177,Tylers,602.54
6.51,8/8/2017,987,THC,"1,571.76"
5.09,8/8/2017,90,ETC,284.9
1.93,8/9/2017,816,HDC,"1,573.96"
