STATION,NAME,DATE,AWND,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",7/1/2017,11.18,,0,0,0,81,92,75,,230,200,17,23,,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",7/2/2017,4.92,,0.15,0,0,81,89,72,,330,320,18.1,21.9,,,,,,,1,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",7/3/2017,4.25,,0,0,0,81,93,71,,10,10,13,17,1,,,,,,1,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",7/4/2017,3.58,,0.01,0,0,79,91,71,,120,130,19.9,25.1,,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",7/5/2017,4.92,,0.49,0,0,77,90,72,,70,90,21.9,27.1,1,,1,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",7/6/2017,7.16,,0.03,0,0,78,89,73,,210,220,15,18.1,1,,1,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",7/7/2017,9.62,,0,0,0,81,90,72,,280,280,19.9,23.9,,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",7/8/2017,9.84,,0,0,0,82,92,71,,250,260,21,28,,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",7/9/2017,5.82,,0,0,0,79,87,67,,20,20,14.1,18.1,,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",7/10/2017,7.38,,0,0,0,79,92,67,,190,170,17,21,1,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",7/11/2017,8.5,,0,0,0,82,96,71,,280,240,18.1,23.9,1,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",7/12/2017,8.5,,0,0,0,86,98,76,,240,170,15,21.9,,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",7/13/2017,10.07,,0,0,0,87,99,77,,220,220,17,23,,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",7/14/2017,9.62,,0,0,0,87,98,74,,260,210,23,31.1,,,1,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",7/15/2017,6.49,,0,0,0,84,94,73,,330,330,15,18.1,,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",7/16/2017,7.16,,0,0,0,82,91,72,,140,140,15,17,,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",7/17/2017,6.04,,0,0,0,79,90,69,,150,190,14.1,19,1,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",7/18/2017,5.37,,0,0,0,81,91,72,,140,130,16.1,21,,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",7/19/2017,4.7,,0,0,0,81,95,68,,180,140,13,17,,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",7/20/2017,6.71,,0,0,0,85,98,73,,220,190,15,19,,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",7/21/2017,5.37,,0,0,0,86,99,75,,220,330,15,19,,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",7/22/2017,7.83,,0,0,0,88,101,74,,250,260,18.1,25.9,,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",7/23/2017,8.5,,0.82,0,0,86,97,74,,240,230,36.9,55.9,1,,1,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",7/24/2017,7.83,,0.01,0,0,82,94,72,,250,240,15,19,,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",7/25/2017,8.95,,0,0,0,81,87,70,,10,20,16.1,23.9,,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",7/26/2017,5.14,,0,0,0,76,89,68,,100,130,13,17,,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",7/27/2017,10.07,,0,0,0,78,90,69,,250,220,17,21,,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",7/28/2017,6.49,,0.22,0,0,79,88,73,,180,180,23,28,1,,1,,,,1,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",7/29/2017,12.3,,0.52,0,0,71,73,66,,10,10,25.1,32,1,,1,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",7/30/2017,8.5,,0,0,0,71,83,60,,10,10,19.9,23.9,,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",7/31/2017,3.58,,0,0,0,73,87,59,,40,30,13,17,,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",8/1/2017,4.47,,0,0,0,77,90,62,,170,200,8.9,13,,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",8/2/2017,5.82,,0,0,0,78,90,69,,180,170,13,17,,,,,,,,
