Check_Ave,Date,Item_Count,Location,Sub-total
10.45,7/1/2017,175,ETC,613.81
9.18,7/2/2017,223,ETC,695.18
7.63,7/3/2017,212,Passport,674.8
10.11,7/3/2017,20,Post Office,171.76
7.87,7/3/2017,191,Tylers,720.75
5.9,7/3/2017,379,ETC,"1,061.64"
4.32,7/3/2017,102,8:15,243.35
63.42,7/4/2017,20,ETC,63.42
10.26,7/5/2017,19,Post Office,184.67
7.27,7/5/2017,281,Tylers,988.67
6.58,7/5/2017,550,ETC,"1,546.13"
3.76,7/5/2017,107,8:15,255.78
7.75,7/5/2017,390,Passport,"1,151.21"
4.45,7/6/2017,188,8:15,464.13
18.03,7/6/2017,26,Post Office,360.48
6.83,7/6/2017,287,Tylers,926.13
7.77,7/6/2017,380,Passport,"1,141.86"
8.06,7/6/2017,713,ETC,"1,891.25"
11.09,7/7/2017,31,Post Office,276.9
4.75,7/7/2017,129,8:15,340.19
6.59,7/7/2017,208,Tylers,722.11
7.98,7/7/2017,474,ETC,"1,488.94"
8.37,7/7/2017,347,Passport,"1,106.74"
13.33,7/8/2017,268,ETC,905.72
9.64,7/9/2017,183,ETC,623.82
6.89,7/10/2017,294,Tylers,978.49
7.43,7/10/2017,420,Passport,"1,253.08"
3.54,7/10/2017,133,8:15,296.79
6.97,7/10/2017,370,ETC,"1,127.28"
15.24,7/10/2017,33,Post Office,304.48
7.96,7/11/2017,369,ETC,"1,222.28"
6.98,7/11/2017,445,Passport,"1,245.75"
16.96,7/11/2017,32,Post Office,525.71
4.33,7/11/2017,148,8:15,391.41
7.37,7/11/2017,312,Tylers,"1,033.38"
7.11,7/12/2017,247,Tylers,895.34
7.27,7/12/2017,412,Passport,"1,202.91"
7.66,7/12/2017,369,ETC,"1,057.54"
4.55,7/12/2017,185,8:15,492.58
10.66,7/12/2017,12,Post Office,106.47
9.42,7/13/2017,17,Post Office,112.71
7.35,7/13/2017,392,Passport,"1,166.96"
7.71,7/13/2017,355,Tylers,"1,234.49"
