DATE,HIGH,LOW,WIND,RAIN,SNOW
7/1/2017,92,75,11.18,0,0
7/2/2017,89,72,4.92,0.15,0
7/3/2017,93,71,4.25,0,0
7/4/2017,91,71,3.58,0.01,0
7/5/2017,90,72,4.92,0.49,0
7/6/2017,89,73,7.16,0.03,0
7/7/2017,90,72,9.62,0,0
7/8/2017,92,71,9.84,0,0
7/9/2017,87,67,5.82,0,0
7/10/2017,92,67,7.38,0,0
7/11/2017,96,71,8.5,0,0
7/12/2017,98,76,8.5,0,0
7/13/2017,99,77,10.07,0,0
7/14/2017,98,74,9.62,0,0
7/15/2017,94,73,6.49,0,0
7/16/2017,91,72,7.16,0,0
7/17/2017,90,69,6.04,0,0
7/18/2017,91,72,5.37,0,0
7/19/2017,95,68,4.7,0,0
7/20/2017,98,73,6.71,0,0
7/21/2017,99,75,5.37,0,0
7/22/2017,101,74,7.83,0,0
7/23/2017,97,74,8.5,0.82,0
7/24/2017,94,72,7.83,0.01,0
7/25/2017,87,70,8.95,0,0
7/26/2017,89,68,5.14,0,0
7/27/2017,90,69,10.07,0,0
7/28/2017,88,73,6.49,0.22,0
7/29/2017,73,66,12.3,0.52,0
7/30/2017,83,60,8.5,0,0
7/31/2017,87,59,3.58,0,0
8/1/2017,90,62,4.47,0,0
8/2/2017,90,69,5.82,0,0
8/3/2017,93,69,6.71,0,0
8/4/2017,91,68,7.61,0,0
8/5/2017,88,64,7.83,0,0
8/6/2017,89,59,5.14,0,0
8/7/2017,87,71,9.62,0.81,0
8/8/2017,80,65,6.71,0.84,0
8/9/2017,84,63,5.37,0,0
8/10/2017,85,62,4.7,0,0
8/11/2017,85,65,6.93,0.03,0
8/12/2017,87,73,5.82,0.3,0
8/13/2017,82,70,5.14,0.19,0
8/14/2017,84,67,4.25,0,0
8/15/2017,84,74,4.47,0.33,0
8/16/2017,91,73,4.25,0,0
8/17/2017,86,73,6.71,0,0
8/18/2017,92,74,9.84,2.15,0
8/19/2017,89,74,4.03,0,0
8/20/2017,89,71,5.37,0,0
8/21/2017,89,71,5.59,0,0
8/22/2017,91,73,8.95,0,0
8/23/2017,86,68,6.71,0.14,0
8/24/2017,83,67,5.82,0,0
8/25/2017,83,63,4.92,0,0
8/26/2017,83,63,6.71,0,0
8/27/2017,81,61,7.38,0,0
8/28/2017,81,60,10.96,0,0
8/29/2017,69,63,14.54,1.15,0
8/30/2017,81,63,6.04,0,0
8/31/2017,87,65,3.58,0,0
9/1/2017,76,53,9.4,0.83,0
9/2/2017,67,57,5.82,0.41,0
9/3/2017,80,62,7.16,0.06,0
9/4/2017,83,56,6.49,0,0
9/5/2017,86,64,8.72,0,0
9/6/2017,74,61,7.61,0.07,0
9/7/2017,76,54,7.38,0,0
9/8/2017,78,51,2.91,0,0
9/9/2017,74,55,8.5,0,0
9/10/2017,71,51,8.5,0,0
9/11/2017,72,53,8.05,0.02,0
9/12/2017,79,60,8.28,0.03,0
9/13/2017,84,65,6.49,0.06,0
9/14/2017,83,65,6.71,0,0
9/15/2017,85,67,3.36,0,0
9/16/2017,86,65,2.91,0,0
9/17/2017,85,64,4.47,0,0
9/18/2017,81,66,9.4,0,0
9/19/2017,84,67,11.41,0,0
9/20/2017,89,66,5.82,0,0
9/21/2017,90,65,4.92,0,0
9/22/2017,84,62,4.25,0,0
9/23/2017,87,61,4.7,0,0
9/24/2017,90,62,5.37,0,0
9/25/2017,88,64,8.05,0,0
9/26/2017,78,69,11.41,0,0
9/27/2017,90,72,12.97,0,0
9/28/2017,88,62,10.51,0,0
9/29/2017,78,55,5.82,0,0
9/30/2017,72,51,11.18,0,0
10/1/2017,72,48,6.49,0,0
10/2/2017,74,47,2.91,0,0
10/3/2017,77,49,3.58,0,0
10/4/2017,78,49,2.91,0,0
10/5/2017,84,55,6.26,0,0
10/6/2017,85,59,6.49,0,0
10/7/2017,83,60,7.61,0,0
10/8/2017,85,73,10.51,0.01,0
10/9/2017,84,73,12.08,0.05,0
10/10/2017,86,72,3.8,0.32,0
10/11/2017,81,72,3.8,1.91,0
10/12/2017,73,61,10.51,0.13,0
10/13/2017,69,61,9.62,0.01,0
10/14/2017,67,63,6.26,0,0
10/15/2017,82,63,9.84,0,0
10/16/2017,72,47,9.62,0.21,0
10/17/2017,64,42,6.71,0,0
10/18/2017,69,39,1.34,0,0
10/19/2017,75,43,3.36,0,0
10/20/2017,80,44,3.13,0,0
10/21/2017,78,50,2.46,0,0
10/22/2017,77,50,3.36,0,0
10/23/2017,78,55,10.07,0.11,0
10/24/2017,74,56,9.84,0.36,0
10/25/2017,66,49,6.71,0,0
10/26/2017,62,39,7.61,0,0
10/27/2017,70,37,6.71,0,0
10/28/2017,73,46,8.72,0,0
10/29/2017,66,45,9.4,1.84,0
10/30/2017,59,43,11.18,0,0
10/31/2017,68,40,3.8,0,0
11/1/2017,71,45,4.92,0,0
11/2/2017,77,57,4.47,0,0
11/3/2017,82,54,5.59,0.23,0
11/4/2017,64,52,8.28,0,0
11/5/2017,64,51,4.03,0.12,0
11/6/2017,76,56,8.5,0,0
11/7/2017,61,42,10.74,0.17,0
11/8/2017,46,41,10.96,0.07,0
11/9/2017,55,45,6.71,0.11,0
11/10/2017,52,30,12.53,0,0
11/11/2017,42,26,4.47,0,0
11/12/2017,48,28,1.57,0.02,0
11/13/2017,48,39,6.26,0.65,0
11/14/2017,51,35,7.83,0,0
11/15/2017,56,33,4.47,0,0
11/16/2017,65,41,9.4,0,0
11/17/2017,55,32,5.14,0,0
11/18/2017,62,32,12.97,0,0
11/19/2017,66,39,16.55,0.01,0
11/20/2017,54,33,5.59,0,0
11/21/2017,62,34,7.83,0.01,0
11/22/2017,63,36,10.07,0.04,0
11/23/2017,45,28,3.36,0,0
11/24/2017,56,26,1.57,0,0
11/25/2017,69,29,6.93,0,0
11/26/2017,59,34,4.25,0,0
11/27/2017,62,29,2.68,0,0
11/28/2017,63,32,3.58,0,0
11/29/2017,71,35,4.7,0,0
11/30/2017,65,39,4.92,0,0
12/1/2017,60,36,6.26,0,0
12/2/2017,53,30,1.12,0,0
12/3/2017,60,37,2.01,0,0
