Date,Location,Check_Ave,Sales,Item_Count,Year
7/1,ETC,10.45,613.81,175,1718
7/2,ETC,9.18,695.18,223,1718
7/3,Passport,7.63,674.8,212,1718
7/3,Post Office,10.11,171.76,20,1718
7/3,Tylers,7.87,720.75,191,1718
7/3,ETC,5.9,"1,061.64",379,1718
7/3,8:15,4.32,243.35,102,1718
7/4,ETC,63.42,63.42,20,1718
7/5,Post Office,10.26,184.67,19,1718
7/5,Tylers,7.27,988.67,281,1718
7/5,ETC,6.58,"1,546.13",550,1718
7/5,8:15,3.76,255.78,107,1718
7/5,Passport,7.75,"1,151.21",390,1718
7/6,8:15,4.45,464.13,188,1718
7/6,Post Office,18.03,360.48,26,1718
7/6,Tylers,6.83,926.13,287,1718
7/6,Passport,7.77,"1,141.86",380,1718
7/6,ETC,8.06,"1,891.25",713,1718
7/7,Post Office,11.09,276.9,31,1718
7/7,8:15,4.75,340.19,129,1718
7/7,Tylers,6.59,722.11,208,1718
7/7,ETC,7.98,"1,488.94",474,1718
7/7,Passport,8.37,"1,106.74",347,1718
7/8,ETC,13.33,905.72,268,1718
7/9,ETC,9.64,623.82,183,1718
7/10,Tylers,6.89,978.49,294,1718
7/10,Passport,7.43,"1,253.08",420,1718
7/10,8:15,3.54,296.79,133,1718
7/10,ETC,6.97,"1,127.28",370,1718
7/10,Post Office,15.24,304.48,33,1718
7/11,ETC,7.96,"1,222.28",369,1718
7/11,Passport,6.98,"1,245.75",445,1718
7/11,Post Office,16.96,525.71,32,1718
7/11,8:15,4.33,391.41,148,1718
7/11,Tylers,7.37,"1,033.38",312,1718
7/12,Tylers,7.11,895.34,247,1718
7/12,Passport,7.27,"1,202.91",412,1718
7/12,ETC,7.66,"1,057.54",369,1718
7/12,8:15,4.55,492.58,185,1718
7/12,Post Office,10.66,106.47,12,1718
7/13,Post Office,9.42,112.71,17,1718
7/13,Passport,7.35,"1,166.96",392,1718
7/13,Tylers,7.71,"1,234.49",355,1718
7/13,8:15,4.17,389.71,151,1718
7/13,ETC,6.95,"1,002.88",347,1718
7/14,Passport,7.66,"1,094.69",387,1718
7/14,ETC,9.49,"1,668.74",483,1718
7/14,8:15,4.63,370.73,142,1718
7/14,Tylers,8.38,"1,222.49",346,1718
7/14,Post Office,7.41,125.84,22,1718
7/15,ETC,12.1,"1,034.31",300,1718
7/16,ETC,14.19,946.79,284,1718
7/17,Post Office,12.49,411.27,50,1718
7/17,Tylers,6.69,"1,094.99",303,1718
7/17,ETC,8.95,"1,705.59",549,1718
7/17,Passport,8.01,"1,189.32",418,1718
7/17,8:15,4.16,431.3,174,1718
7/18,Post Office,5.5,93.57,20,1718
7/18,8:15,4.74,460.36,176,1718
7/18,Tylers,6.99,"1,009.99",284,1718
7/18,ETC,10.01,"1,622.71",468,1718
7/18,Passport,7.63,"1,189.97",434,1718
7/19,8:15,4.58,353.98,140,1718
7/19,Tylers,7.31,895.8,254,1718
7/19,Passport,7.47,"1,226.56",427,1718
7/19,ETC,8.69,"1,397.91",431,1718
7/19,Post Office,22.27,423.02,22,1718
7/20,Post Office,11.95,191.11,17,1718
7/20,8:15,4.4,368.83,144,1718
7/20,Tylers,8.17,"1,171.18",324,1718
7/20,ETC,12.76,"2,847.98",855,1718
7/20,Cellar,0,0,4,1718
7/20,Passport,8.51,"1,303.29",454,1718
7/21,Tylers,7.38,"1,090.38",314,1718
7/21,8:15,4.72,353.86,143,1718
7/21,ETC,14.28,"2,804.94",842,1718
7/21,Post Office,5.06,45.58,9,1718
7/21,Passport,8.45,"1,045.15",337,1718
7/22,ETC,16.79,"1,272.19",427,1718
7/23,ETC,12.63,591.14,177,1718
