Date,Location,Check_Ave,Sales,Item_Count
7/1/2017,ETC,10.45,613.81,175
7/2/2017,ETC,9.18,695.18,223
7/3/2017,Passport,7.63,674.8,212
7/3/2017,Post Office,10.11,171.76,20
7/3/2017,Tylers,7.87,720.75,191
7/3/2017,ETC,5.9,"1,061.64",379
7/3/2017,8:15,4.32,243.35,102
7/4/2017,ETC,63.42,63.42,20
7/5/2017,Post Office,10.26,184.67,19
7/5/2017,Tylers,7.27,988.67,281
7/5/2017,ETC,6.58,"1,546.13",550
7/5/2017,8:15,3.76,255.78,107
7/5/2017,Passport,7.75,"1,151.21",390
7/6/2017,8:15,4.45,464.13,188
7/6/2017,Post Office,18.03,360.48,26
7/6/2017,Tylers,6.83,926.13,287
7/6/2017,Passport,7.77,"1,141.86",380
7/6/2017,ETC,8.06,"1,891.25",713
7/7/2017,Post Office,11.09,276.9,31
7/7/2017,8:15,4.75,340.19,129
7/7/2017,Tylers,6.59,722.11,208
7/7/2017,ETC,7.98,"1,488.94",474
7/7/2017,Passport,8.37,"1,106.74",347
7/8/2017,ETC,13.33,905.72,268
7/9/2017,ETC,9.64,623.82,183
7/10/2017,Tylers,6.89,978.49,294
7/10/2017,Passport,7.43,"1,253.08",420
7/10/2017,8:15,3.54,296.79,133
7/10/2017,ETC,6.97,"1,127.28",370
7/10/2017,Post Office,15.24,304.48,33
7/11/2017,ETC,7.96,"1,222.28",369
7/11/2017,Passport,6.98,"1,245.75",445
7/11/2017,Post Office,16.96,525.71,32
7/11/2017,8:15,4.33,391.41,148
7/11/2017,Tylers,7.37,"1,033.38",312
7/12/2017,Tylers,7.11,895.34,247
7/12/2017,Passport,7.27,"1,202.91",412
7/12/2017,ETC,7.66,"1,057.54",369
7/12/2017,8:15,4.55,492.58,185
7/12/2017,Post Office,10.66,106.47,12
7/13/2017,Post Office,9.42,112.71,17
7/13/2017,Passport,7.35,"1,166.96",392
7/13/2017,Tylers,7.71,"1,234.49",355
7/13/2017,8:15,4.17,389.71,151
7/13/2017,ETC,6.95,"1,002.88",347
7/14/2017,Passport,7.66,"1,094.69",387
7/14/2017,ETC,9.49,"1,668.74",483
7/14/2017,8:15,4.63,370.73,142
7/14/2017,Tylers,8.38,"1,222.49",346
7/14/2017,Post Office,7.41,125.84,22
7/15/2017,ETC,12.1,"1,034.31",300
7/16/2017,ETC,14.19,946.79,284
7/17/2017,Post Office,12.49,411.27,50
7/17/2017,Tylers,6.69,"1,094.99",303
7/17/2017,ETC,8.95,"1,705.59",549
7/17/2017,Passport,8.01,"1,189.32",418
7/17/2017,8:15,4.16,431.3,174
7/18/2017,Post Office,5.5,93.57,20
7/18/2017,8:15,4.74,460.36,176
7/18/2017,Tylers,6.99,"1,009.99",284
7/18/2017,ETC,10.01,"1,622.71",468
7/18/2017,Passport,7.63,"1,189.97",434
7/19/2017,8:15,4.58,353.98,140
7/19/2017,Tylers,7.31,895.8,254
7/19/2017,Passport,7.47,"1,226.56",427
7/19/2017,ETC,8.69,"1,397.91",431
7/19/2017,Post Office,22.27,423.02,22
7/20/2017,Post Office,11.95,191.11,17
7/20/2017,8:15,4.4,368.83,144
7/20/2017,Tylers,8.17,"1,171.18",324
7/20/2017,ETC,12.76,"2,847.98",855
7/20/2017,Cellar,0,0,4
7/20/2017,Passport,8.51,"1,303.29",454
7/21/2017,Tylers,7.38,"1,090.38",314
7/21/2017,8:15,4.72,353.86,143
7/21/2017,ETC,14.28,"2,804.94",842
7/21/2017,Post Office,5.06,45.58,9
7/21/2017,Passport,8.45,"1,045.15",337
7/22/2017,ETC,16.79,"1,272.19",427
7/23/2017,ETC,12.63,591.14,177
7/24/2017,8:15,5.18,345.59,135
7/24/2017,Post Office,6.09,103.25,19
7/24/2017,ETC,9.38,631.93,187
7/24/2017,Tylers,6.97,789.33,239
7/25/2017,ETC,6.01,502.91,173
7/25/2017,Passport,0,0,
7/25/2017,8:15,4.74,310.41,113
7/25/2017,Post Office,10.78,247.86,24
7/25/2017,Tylers,8.15,883.19,256
7/26/2017,Post Office,16.22,324.44,22
7/26/2017,Passport,-12.24,-11,-2
7/26/2017,Tylers,7.45,"1,022.80",292
7/26/2017,8:15,4.4,355.51,131
7/26/2017,ETC,6.77,771.18,272
7/27/2017,Cellar,0,0,
7/27/2017,ETC,8.86,776.35,239
7/27/2017,Concessions,3.92,98,31
7/27/2017,Post Office,17.08,358.75,24
7/27/2017,Tylers,7.36,878.82,256
7/27/2017,8:15,4.04,251.56,105
7/28/2017,Post Office,7.39,103.39,16
7/28/2017,ETC,9.46,806.35,239
7/28/2017,Passport,0,0,
7/28/2017,Tylers,8.66,828.74,245
7/28/2017,8:15,4.49,286.38,117
7/28/2017,Concessions,5.81,273,89
7/29/2017,Concessions,4.48,130,42
7/31/2017,Post Office,17.07,426.61,34
7/31/2017,8:15,5.86,356.19,145
7/31/2017,Passport,7.18,560.77,194
7/31/2017,ETC,7.6,434.03,126
8/1/2017,8:15,4.33,271.04,118
8/1/2017,Tylers,0,0,
8/1/2017,ETC,5.81,291.29,105
8/1/2017,Passport,7.5,648.41,226
8/1/2017,Post Office,30.28,635.88,24
8/2/2017,Post Office,10.74,204,20
8/2/2017,Passport,8,680.07,231
8/2/2017,8:15,4.43,257.09,107
8/2/2017,ETC,7.58,380.59,120
8/3/2017,Passport,6.75,597.99,208
8/3/2017,ETC,8.53,353.93,119
8/3/2017,8:15,5.44,238.17,99
8/3/2017,Post Office,25.94,363.11,15
8/4/2017,Post Office,9.74,58.41,9
8/4/2017,ETC,12.15,179.94,51
8/4/2017,8:15,4.58,107.56,39
8/4/2017,Passport,4.79,73.5,26
8/7/2017,Cellar,0,0,
8/7/2017,Passport,7.42,497.75,173
8/7/2017,ETC,5.04,250.71,78
8/7/2017,Post Office,24.22,460.21,21
8/7/2017,Tylers,6.98,574.88,175
8/8/2017,Post Office,10.57,221.99,25
8/8/2017,Passport,7.7,674.06,220
8/8/2017,Cellar,0,0,
8/8/2017,Tylers,7.02,602.54,177
8/8/2017,ETC,5.09,284.9,90
8/9/2017,ETC,4.72,235.4,111
8/9/2017,Passport,6.47,484.3,176
8/9/2017,Tylers,6.43,516.59,166
8/9/2017,Post Office,21.64,302.97,15
8/9/2017,Cellar,0,0,
8/10/2017,Post Office,14.32,157.23,13
8/10/2017,ETC,5.3,293.94,113
8/10/2017,Passport,6.95,536.78,193
8/10/2017,Tylers,6.66,605.82,187
8/10/2017,Cellar,0,0,2
8/10/2017,Dean's Den,0,0,
8/11/2017,Post Office,18.27,383.37,25
8/11/2017,Tylers,6.88,513.7,157
8/11/2017,Cellar,0.01,0.02,2
8/11/2017,Passport,7.63,549.96,210
8/11/2017,ETC,9.97,472.7,185
8/14/2017,Passport,7.67,457.16,149
8/14/2017,8:15,4.45,221.5,83
8/14/2017,Tylers,7.63,617.74,187
8/14/2017,Cellar,0.02,0.01,1
8/14/2017,Post Office,15.83,379.44,32
8/14/2017,ETC,4.14,201.96,85
8/15/2017,Post Office,18.46,276.91,16
8/15/2017,Passport,6.22,347.59,117
8/15/2017,Tylers,6.69,455.65,137
8/15/2017,ETC,4.99,231.93,83
8/15/2017,8:15,3.46,183.83,73
8/15/2017,Cellar,0,0,
8/16/2017,ETC,8.76,579.03,157
8/16/2017,Passport,6.93,721.37,255
8/16/2017,Cellar,0,0,0
8/16/2017,Lou's,0,0,0
8/16/2017,Post Office,13.39,240.57,23
8/16/2017,8:15,5.38,243.78,90
8/17/2017,Post Office,30.26,453.84,17
8/17/2017,Tylers,6.94,715.29,209
8/17/2017,8:15,4.28,224.6,87
8/17/2017,Cellar,0.02,0.22,9
8/17/2017,ETC,5.99,341.18,104
8/17/2017,Passport,6.5,501.47,163
8/18/2017,Cellar,0,0,
8/18/2017,Concessions,6.18,136,43
8/18/2017,Passport,7.14,795.96,268
8/18/2017,ETC,8.7,493,162
8/18/2017,Post Office,36.54,328.89,9
8/18/2017,Tylers,7.03,529.79,163
8/18/2017,8:15,4.58,194.38,72
8/20/2017,ETC,6.24,567.55,200
8/20/2017,Tylers,8.3,710.65,206
8/20/2017,Concessions,8.08,913,283
8/21/2017,Post Office,17.01,493.15,32
8/21/2017,Lou's,0,0,
8/21/2017,Passport,7.04,748.77,245
8/21/2017,Tylers,7.2,931.24,273
8/21/2017,8:15,3.97,391.4,159
8/21/2017,ETC,7.12,"1,261.54",390
8/22/2017,8:15,5.06,500.62,198
8/22/2017,ETC,7.96,"1,323.24",394
8/22/2017,Passport,6.1,"1,060.51",371
8/22/2017,Post Office,17.76,443.85,27
8/22/2017,Tylers,6.51,"1,008.17",287
8/22/2017,Lou's,0,0,
8/22/2017,Cellar,0,0,
8/23/2017,8:15,4.73,703.18,253
8/23/2017,Tylers,7.97,"2,262.10",660
8/23/2017,Passport,6.05,"1,118.22",375
8/23/2017,ETC,8.5,"3,088.39",884
8/23/2017,Cellar,0.01,0.01,1
8/23/2017,Lou's,0,0,
8/23/2017,Post Office,8.41,109.24,14
8/24/2017,Post Office,16.96,303.91,23
8/24/2017,Tylers,6.94,"1,670.80",503
8/24/2017,Cellar,0,0,
8/24/2017,Passport,9.52,"2,603.23",721
8/24/2017,8:15,4.02,762.06,306
8/24/2017,ETC,7.01,"3,179.57",959
8/25/2017,Passport,6.72,"1,180.98",420
8/25/2017,8:15,3.83,661.71,266
8/25/2017,Tylers,7.09,"2,117.24",573
8/25/2017,ETC,8.46,"5,365.45",1567
8/25/2017,Cellar,0,0,
8/25/2017,Lou's,0,-0.01,-1
8/25/2017,Post Office,21.11,253.34,13
8/26/2017,ETC,8.35,"6,764.96",1929
8/27/2017,ETC,8.95,"8,442.85",2398
8/27/2017,Tylers,7.9,"2,912.06",713
8/28/2017,Post Office,24.32,"1,262.92",59
8/28/2017,8:15,3.81,"2,594.94",987
8/28/2017,Tylers,7.07,"5,310.82",1331
8/28/2017,ETC,7.09,"7,473.29",2237
8/28/2017,Passport,6.85,"5,103.77",1572
8/28/2017,Cellar,0,0,3
8/28/2017,Dean's Den,6.6,435.83,158
8/28/2017,Lou's,6.06,"2,595.15",798
8/29/2017,ETC,6.9,"7,077.53",2105
8/29/2017,Cellar,0,0,12
8/29/2017,Dean's Den,5.63,343.23,123
8/29/2017,Post Office,6.66,239.45,36
8/29/2017,8:15,3.95,"3,290.82",1261
8/29/2017,Tylers,7.05,"4,973.08",1270
8/29/2017,Passport,7.26,"4,754.77",1497
8/29/2017,Lou's,6.03,"2,936.35",880
8/30/2017,Post Office,9.29,305.57,36
8/30/2017,Lou's,5.91,"2,618.56",811
8/30/2017,Tylers,7.2,"5,155.82",1311
8/30/2017,8:15,3.96,"3,398.60",1325
8/30/2017,Cellar,0,0,2
8/30/2017,Dean's Den,5.95,439.91,155
8/30/2017,ETC,6.58,"6,999.61",2230
8/30/2017,Passport,6.91,"5,471.54",1725
8/31/2017,Cellar,40.28,322.2,62
8/31/2017,ETC,6.51,"7,109.40",2248
8/31/2017,Dean's Den,5.13,358.72,130
8/31/2017,Post Office,9.31,341.41,37
8/31/2017,Tylers,7.23,"5,154.93",1331
8/31/2017,Passport,7.22,"5,259.45",1657
8/31/2017,Lou's,5.97,"2,720.64",878
8/31/2017,8:15,4.05,"3,101.08",1178
9/1/2017,Post Office,11.8,457.86,44
9/1/2017,Lou's,6.84,"1,046.41",328
9/1/2017,ETC,6.69,"5,477.86",1757
9/1/2017,8:15,3.96,"1,684.29",657
9/1/2017,Cellar,14.93,"3,501.02",830
